titles,reviews
더 그레이트 시즌 3,시즌3 는 어디서 보나요??토니 맥나마라는 미쳤다……. 더그레이트 나한테 뭔짓했냐……
빌런의 나라,그냥 환장할 시트콤.생각없이 편하게 보면서 웃는 드라마에요~~은근 잼있어요~~~ㅎㅎㅎㅎㅎㅎㅎ 계속했으면 좋겠는데 왜 끝나는거에요ㅠㅠ
더 오피스 시즌 8,마이클이 없으니 예전같지 않다..마이클의 자리를 채우긴 힘든 앤디. 제임스 스페이더의 캐릭터는 개성이 강하지만 잘 녹아들진 못한다.
더 스튜디오,카메오 라인업이 엄청남
푀르니 시즌 1,
푀르니 시즌 2,
아무짝에 쓸모없는 사랑,
술꾼도시여자들,"한 회 분량이 짧아서 금방 볼 수 있었고, ott 서비스라서 그런지 필터링 없는 욕도 흥미로웠다. 가볍지 않은 소재를 적절히 활용해서 긴장감도 유발되었다. 킬링타임용으로 추천!아무 생각 없이 보기 좋은 드라마 나도 술친구 중 한명이 된 기분보는 내내 내가 술마시는 기분. 머리가 어질어질했던 드라마. 너무 재미있었지만 술을 못 마시는 나에게 술 마시는 기분을 줬다.한선화의재발견^^ 연기를 너무찰떡같이잘해서 놀랐어요^^ 배우들모두 몸을 사리지않는 연기 너무좋았어요^^같이 술마시면서 보기 좋았던 작품!1화가 너무 노잼이라 그게 큰 벽임이게 진짜 사람들이 바라는 청춘이지 뭐겠어아무리 술쟁이라고 욕해봐라 덕분에 술마실 구실 생기는거지 힘들어도 마시고 슬퍼도 마시고 화나도 마시고 기쁘면 더 마시자!!!!!!!! 혼술러들의 최고 술친구배우들 연기도 너무 코미디로 잘하고 슬펐다가 웃어다가 반복한 드라마임"
김비서가 왜 그럴까,"웹툰의 실사화는 1등 그림체를 완벽 재현했으나 그뿐 전형적인 로맨스로 16부작은 너무 길다고구마전개살짝 그래도 이불킥하면서 보기좋았던 드라마 박서준도 로코가 짱인듯👍적당히 가볍고 보기 쉬웠다. 박서준의 잘난척이 너무 잘 어울렸다.두 배우의 케미가 너무 잘 어울렸던 작품다음회차가 기다려지는 드라마 눈이 즐거웠던 드라마웹툰 원작이라 살짝 오글거리긴 하지만 그걸 충분히 배우들의 연기력으로 커버치는듯로코의 정석! 두 배우가 왜 로코의 대명사인지 알 수 있다. 설레고 웃기고 다 한다. 로코를 좋아한다면 추천!오피스로코는 김비서지싱크로율 ㅇㅈ 근데 넘 유치해여박서준이 말아주는 로코란 …말해뭐해 박민영의 스타일링이 좋았구 웹툰이 좋았어서 재밌게봤다설레는 로코물. 박민영 짱 예쁨 (이태환 연기 때문에.. 이태환 부분 다 스킵하고 봄)스토리도 빵빵해서 너무 재밌었고 배우들도 좋아서 완벽한 드라마임가볍게 보기 좋은 드라마! 로맨스가 진한 맛으로 들어가서 그런지 확실히 재밌었다박서준 얼굴만 보인다…넘잘생갸ㅛ다드라마 진짜 재미있게 봤어요로맨스는 케미다!생각했던 것 보다 어울리지 않았던 조합.. 설레지 않는 로코로코 불도저 박서준 또 해주라로코 장인이 말아 줘야 로코가 된다! 애매한 로코는 유치할 뿐이겠지만 박서준&박민영이라면 역시.중간 내용이 지루할 정도로 길고 남주의 캐릭터 설정이겠지만 대사를 어색하게 하는게 몰입도가 떨어진다중간중간 납치햇던 여자나올때 무서워서 눈가리고 봤는데 영준이가 너무 머싯어서 볼 수 밖에 없던 드라마이다. 이드라마의 매력은 남주 영준의 아우라가 아닐까 생각한다. 연기도 쵝오!제 인생 드라마 입니다.. 생각날 때마다 보면 재밌어요언니가 재밌다고 보라고 추천해줘서 봤는데 웹툰보다 재밌네요.ㅎ영준이 이녀석..재미 있고 소소하게 볼 만한데 그렇게 깊이 있는 작품도 아니고 지루할 수 있다. 그래도 이런 오글거림이 좋다면 볼 만함배우들의 케미가 돋보이는 드라마평범한 이야기, 비범한 비주얼"
빅뱅이론 시즌 1,"너드 개그의 완성품. 고난도의 개그가 섞여있어서 영어권 혹은 이과가 아니라면 이해하기 힘든 부분들이 있으나 자세히 모르더라도 충분히 재밌다.미국 시트콤의 혜성 등장쉘던 처음에 이해안가고 사회부적응자같았는데 매력있어요페니 똑똑 페니 똑똑 페니레너드의 sarcasm을 배꼽 잡고 웃으면서 봤던 미드너무 전형적인 너드 개그 투성이지만 빌드업과 타이밍, 완급 조절이 환상적이라서 안 웃을 수가 없었음빅뱅이론은 이제 내 쌀밥, 밥반찬, 밥친구시간가는줄 모르고 본 드라마시즌을 거듭할수록 빅뱅이론에 동화되어 간다. 전부 다 사랑스러워 보이기 시작했을 때야 그걸 느꼈다.진짜 개웃김 ㅋㅋㅋㅋ 강추내 인생 미드 너무 정들었어ㅜㅜ웰메이드 시트콤. 처음에는 이게 뭔가 싶었는데 어느새 개그코드가 빅뱅이론에 동화되어간다.이장원을 쉘던으로 한국판 빅뱅이론 만들어보자고요빠지면 큰일나는 너드들의 매력.좆같은데 계속 보게되네 ㅅㅂ - 2020.09.23재밌는 캐릭터들의 조합. 결국 완결까지 보게됨.명작의 시작. 모든 캐릭터가 독특하고 비범하며 사랑스럽다.초반은 억지 설정인가하고 턱괴고 봤는데 후반기에 개그폼 완전 좋음ㅋㅋ 쉘든 레너드 하워드 페니 다 매력터짐아 왜이래요 스타워즈 몰라요? 배트맨 몰라요? 아이언맨 몰라요? 그럼 과학은 좋아하시나요? 싫어하면 싫어하는 대로 여주인공에 몰입해서 보면됨"
